"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_0)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_1)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_2)\Power","\\NATHANS_LAPTOP\Energy Meter(GPU)\Power","\\NATHANS_LAPTOP\Energy Meter(PSU_USB)\Power","\\NATHANS_LAPTOP\Energy Meter(SYS)\Power","\\NATHANS_LAPTOP\Energy Meter(USBC_TOTAL)\Power","\\NATHANS_LAPTOP\Energy Meter(_Total)\Power","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Utility","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Time","\\NATHANS_LAPTOP\Processor Information(_Total)\Processor Frequency","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ0)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ2)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ98)\High Precision Temperature","\\NATHANS_LAPTOP\Memory\Available MBytes"
"09/05/2026 11:33:00.070"," "," "," "," "," "," "," "," "," "," ","2860","3418","3578","3578","1778"
"09/05/2026 11:33:01.085","4360.0065246290378127","9930.0148636510621145","7830.0117199008373063","220.00032695002335004","34780.052064096576942","36130.054086875294161","0","0","52.369966389952367081","58.270868534751599555","3417","3434","3578","3578","1761"
"09/05/2026 11:33:02.096","4629.9930984666434597","10239.984741532211046","6649.9900911145441569","219.99967101499026967","37549.94405109280342","38839.942127245682059","0","0","51.318949141380883816","57.352645629634110946","3417","3414","3590","3590","1747"
"09/05/2026 11:33:03.104","3359.9943400263919102","9669.9837119726089441","7169.9879239630517986","229.99961125575092069","37549.936759513533616","39179.934013338563091","0","0","52.027304653343890095","58.165458030595864614","3045","3426","3586","3586","1726"
"09/05/2026 11:33:04.111","4230.0084536935446522","9860.0197025019333523","7050.0140870910299782","230.00045685918306049","38220.076381819162634","40320.080579887406202","0","0","49.933897459208424152","56.924410598097608727","3417","3434","3582","3582","1718"
"09/05/2026 11:33:05.115","3680.000366891957583","11570.001154630572273","6750.0006726352557962","240.00002158187984946","36240.003618561851908","38220.003816395750619","0","0","50.038050290924090291","53.987321019343383455","2860","3414","3610","3610","1743"
"09/05/2026 11:33:06.128","4459.9995576878491192","9809.999026199860964","7299.9992758922044231","229.99997503076565408","34049.996625586332812","35519.996479337954952","0","0","52.426096760643893901","58.616933515393341736","3231","3418","3594","3594","1729"
"09/05/2026 11:33:07.133","4539.9936427483771695","9999.9860003671801678","7289.989794559258371","229.99967601775423987","37929.946899309914443","38809.945668177380867","0","0","50.200708230189150072","54.247233843131461128","2860","3426","3590","3590","1719"
"09/05/2026 11:33:08.147","3769.9977466827158423","10439.993766658068125","7079.9957727911041729","239.99985670478318411","38289.977137248155486","39439.976449431116635","0","0","50.591608407055211671","59.037344873018746227","3314","3418","3622","3622","1717"
"09/05/2026 11:33:09.153","3950.0019632429334706","10260.005105148138682","7690.0038261741838141","230.00011105936300737","39110.019456883892417","40770.020284455269575","0","0","49.225920442238482622","55.345201419351141681","2943","3410","3491","3497","2551"
"09/05/2026 11:33:10.167","4440.0022172470144142","7230.0036138246787232","7750.0038729834213882","240.0001187810900376","33660.016827321087476","35530.017759572678187","0","0","37.632079875600467744","43.761188595969635173","3129","3406","3475","3497","6732"
"09/05/2026 11:33:11.177","4719.9962552298266019","5339.9957625908527916","5949.9952770915733709","229.99981436792276668","26889.97866659050851","27729.977999029000785","0","0","39.030565885795631687","45.449693312477798202","3231","3414","3487","3521","5759"
"09/05/2026 11:33:12.181","4830.0115571252190421","5100.0122031756973229","7880.0188539064520228","220.00052401872110863","29550.07070663565537","31280.07484494788514","0","0","35.457304807174260475","38.001680261430671237","3045","3430","3447","3529","3766"
"09/05/2026 11:33:13.189","3959.9956893173448407","4859.9947096167406926","6459.9929675309404047","219.99975774675985463","28719.968735081831255","30089.967242374365014","0","0","39.862621456301127409","48.466001165917468541","3045","3430","3487","3501","1388"
"09/05/2026 11:33:14.193","3140.0046633509814455","5550.0082428650375732","6270.0093124409504526","210.00031017701482483","28930.042975560190825","29910.044430183432269","0","0","48.171442988970127885","53.724669550240697902","3045","3430","3610","3610","1899"
"09/05/2026 11:33:15.212","3409.9921723730390113","9549.978079770668046","5569.9872149957072907","229.99947193154508795","35379.918799596227473","38769.911018669197802","0","0","48.459262796747559321","52.193217547625245345","2757","3450","3606","3606","1808"
