"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_0)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_1)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_2)\Power","\\NATHANS_LAPTOP\Energy Meter(GPU)\Power","\\NATHANS_LAPTOP\Energy Meter(PSU_USB)\Power","\\NATHANS_LAPTOP\Energy Meter(SYS)\Power","\\NATHANS_LAPTOP\Energy Meter(USBC_TOTAL)\Power","\\NATHANS_LAPTOP\Energy Meter(_Total)\Power","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Utility","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Time","\\NATHANS_LAPTOP\Processor Information(_Total)\Processor Frequency","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ0)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ2)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ98)\High Precision Temperature","\\NATHANS_LAPTOP\GPU Engine(pid_36204_luid_0x00000000_0x00010486_phys_0_eng_0_engtype_Compute)\Utilization Percentage","\\NATHANS_LAPTOP\GPU Engine(pid_4_luid_0x00000000_0x00010486_phys_0_eng_0_engtype_Compute)\Utilization Percentage","\\NATHANS_LAPTOP\Process(npurun)\% Processor Time","\\NATHANS_LAPTOP\Process(npurun)\Working Set - Private","\\NATHANS_LAPTOP\Memory\Available MBytes"
"09/05/2026 11:36:51.913"," "," "," "," "," "," "," "," "," "," ","2860","3374","3574","3574"," "," "," ","81113088","2298"
"09/05/2026 11:36:52.942","3729.9941199209843035","9329.985292709481655","6379.9899421567615718","0","31429.950459093019163","31969.949607935624954","0","0","43.147433660849465298","56.156171382197975106","3417","3370","3526","3526","0","0","270.66223767972712722","81113088","2331"
"09/05/2026 11:36:53.958","2828.7252783996223116","9450.3565607186537818","4768.6627806346868965","0","30707.431444316498528","31609.430591415923118","0","0","47.236087875665951685","58.982039052386504352","3129","3426","3566","3566","0","0","275.7547861961614899","81113088","2345"
"09/05/2026 11:36:54.972","3510.010031118823008","10020.028638542631597","7520.0214922131972344","0","34600.098898954311153","35630.101840516923403","0","0","45.193802299894514363","53.926305610371016996","3129","3402","3546","3546","0","0","278.39144876493674019","81113088","2351"
"09/05/2026 11:36:55.983","3089.9993873945750238","8599.9982975267830625","4169.9991736950078121","0","29939.994073398676846","31079.993849014132138","0","0","43.569571054489728112","53.237746949190743351","3314","3402","3546","3546","0","0","284.40859236443554892","81113088","2283"
"09/05/2026 11:36:57.005","2669.9952243653951882","9229.9834909710098145","5229.9906454797810511","0","29779.946734682198439","30549.94535743925735","0","0","36.275183486956386503","42.81962758329163421","3129","3354","3550","3550","0","0","276.63288105986794108","81113088","2277"
"09/05/2026 11:36:58.021","1590.0036498056433629","8370.0192271042124048","2650.0060878038957526","0","24550.056397587890388","24870.057134740756737","0","0","34.513101994716670617","42.563828738718342493","2757","3378","3538","3538","0","0","270.77011056380541731","81113088","2340"
"09/05/2026 11:36:59.034","1910.0005653413736582","8610.0025493695902696","3850.001137793959515","0","28130.008334340756846","27860.008252561812697","0","0","42.277847166846939331","49.119135675101368577","3045","3370","3574","3574","0","0","280.62365109453338619","81149952","2270"
"09/05/2026 11:37:00.048","2119.9985317278328694","8589.9940593637020356","3879.9973158704933667","0","29649.979501071873528","29419.979661053104792","0","0","43.52664780245634546","49.24046184278195426","3129","3390","3546","3546","0","0","277.56488208649045646","81149952","2231"
"09/05/2026 11:37:01.054","2009.9984025502017175","8579.9931849289368984","4789.9961939954473564","0","30789.975545080604206","31089.975309215533343","0","0","43.223606827257547991","49.303909898179064442","3417","3378","3534","3534","0","0","282.4024751912839406","81121280","2166"
"09/05/2026 11:37:02.069","3340.0019743266516343","9640.0057028212268051","4570.0027022708309232","0","28820.017055199474271","29240.017303765780525","0","0","42.916407921391922287","53.779537217554761241","2943","3386","3590","3590","0","0","265.30255251164271613","81121280","2185"
"09/05/2026 11:37:03.081","2989.996754123044866","8889.9903511513275589","4559.9950495049506571","0","29179.968333167606033","29829.967630012641166","0","0","43.707088738775745185","52.305564419436009871","2860","3382","3590","3590","0","0","285.10023396835458698","81121280","2285"
"09/05/2026 11:37:04.096","2699.9960062905361156","8979.9867160348330799","3709.9945117557058438","0","30369.955075205987669","31109.95398181708515","0","0","42.105653898544510128","48.806716548288719082","3129","3362","3550","3550","0","0","272.52976801083644887","81121280","2203"
"09/05/2026 11:37:05.110","2840.0011178497538822","8730.0034422674962116","4470.0017601697709324","0","29360.011575955228182","29840.011764037884859","0","0","40.848663812894358216","48.505762407238250944","3231","3362","3566","3566","0","0","277.28176520184337051","81121280","2198"
"09/05/2026 11:37:06.120","2440.0050724327716125","8990.0186927880913572","4280.0088972538287635","0","29500.061339721105469","30250.062897453444748","0","0","39.351172841657664492","45.335207498323413233","3129","3354","3550","3550","0","0","280.12339940275342087","81121280","2230"
"09/05/2026 11:37:07.139","2810.0028028517217535","8280.0082648191801127","2850.0028423791181922","0","26560.026508509170526","27090.027040332319302","0","0","34.325612995552845064","39.788870743292882537","3231","3386","3522","3522","0","0","277.71943112454999891","81121280","2249"
"09/05/2026 11:37:08.161","1809.9969439946814873","8729.985263263240995","2179.9963184965167784","0","23759.959896631960873","23909.959642858419102","0","0","40.501747543031193288","47.141005810957437916","3045","3374","3574","3574","0","0","297.91665872222245071","81121280","2265"
"09/05/2026 11:37:09.182","2829.9991554749199167","8759.9973876978456246","4719.9985900725359897","0","30019.991046602754068","30609.990871256446553","0","0","43.459007787070859763","49.242649216468826978","3314","3426","3570","3570","0","0","281.63092419220413376","81121280","2166"
"09/05/2026 11:37:10.190","3240.0054628224584121","9280.015645809158741","5200.0087655092384011","0","30020.050615013835341","30440.051321967330296","0","0","42.900947021423895933","46.757863178237336399","3045","3362","3538","3538","0","0","271.67306494510103221","81121280","2159"
"09/05/2026 11:37:11.200","1779.9962952265830154","9059.981155218953063","4829.9899518272486603","0","28429.940862688046764","28939.939803671968548","0","0","47.038252213860332063","52.724456256346407201","3417","3438","3566","3566","0","0","272.05979537937599844","81121280","2193"
"09/05/2026 11:37:12.221","5080.0100859197418686","9470.0188029850323801","6150.0122088950520265","0","32330.06419319790075","33080.065679995423125","0","0","44.476115066628828743","50.999848099529110357","2943","3418","3594","3594","0","0","272.32699488274931809","81121280","2143"
"09/05/2026 11:37:13.227","2179.9943517007654918","9009.9766608689424174","4229.9890440925964867","0","29999.922297333643655","30429.921182018682885","0","0","33.187903130950601849","39.205721453553422862","2757","3362","3558","3558","0","0","285.56475620368325963","81121280","2142"
"09/05/2026 11:37:14.238","1790","8580","1480","0","24610","24730","0","0","35.38204564135945418","40.707115274066488553","3129","3386","3534","3534","0","0","280.24936731150569358","81121280","2200"
"09/05/2026 11:37:15.253","3210.0086619188650729","8410.0226966025275033","2850.0076902869191144","0","25710.069388915479067","25890.069874731452728","0","0","41.502269050653147531","50.771518606101452065","3314","3366","3491","3491","0","0","265.85538136041634516","81121280","2137"
"09/05/2026 11:37:16.272","1869.9957050077093754","8609.9802286589201685","5039.9884268826981497","0","28109.935449320888438","28549.93443936872427","0","0","42.937124092637397155","55.767695001459948401","3129","3410","3542","3542","0","0","277.69197112916663173","81121280","2231"
"09/05/2026 11:37:17.291","2199.9993398392653035","9029.9972983639490849","4829.9985541044779893","0","28989.991331802524655","29619.991141647533368","0","0","42.97032703383390384","50.929450190987488156","2674","3374","3515","3515","0","0","294.42272095468331372","81121280","2272"
"09/05/2026 11:37:18.304","2990.0008830695355755","8660.0025570005418558","4710.0013902138871345","0","28760.00849732774077","29610.008749126682233","0","0","43.527227093708809491","50.799275886995509666","3045","3378","3550","3550","0","0","282.10151185198782287","81121280","2272"
"09/05/2026 11:37:19.326","3130.0003080196129304","9210.0009133139683399","5150.000512172146955","0","29730.002954839310405","30490.003030053401744","0","0","44.838845603185490063","57.422498212295494113","3129","3390","3546","3546","0","0","283.00724860805712524","81121280","2285"
"09/05/2026 11:37:20.340","2039.9979624252530357","9059.9909548930536403","4779.9952276908925342","0","28319.97172909958681","29139.970909757361369","0","0","42.594668639258571829","46.474850951496229357","3314","3382","3538","3538","0","0","289.60648418812678528","81121280","2294"
"09/05/2026 11:37:21.349","2450.00583322617058","8800.020953891436875","4170.0099304156483413","0","29050.069177132896584","29660.070630974325468","0","0","43.891753794934800226","51.231191031542991254","3129","3378","3526","3526","0","0","287.92969017031566636","81121280","2262"
"09/05/2026 11:37:22.363","2149.995110877053321","8039.98172094281108","1329.9969754334026675","0","22409.94905206524345","22579.948664209059643","0","0","29.797689787217244373","33.431200875004520867","3314","3362","3526","3526","0","0","270.13990221367760114","81121280","2279"
"09/05/2026 11:37:23.379","2150.0058017333217322","8040.0217025136043958","1330.0035882928796127","0","22410.060489908151794","22580.060950591690926","0","0","30.366421111158363288","37.836354905944943994","2943","3354","3550","3550","0","0","284.54287783701244052","81121280","2263"
"09/05/2026 11:37:24.396","1039.9982522140398942","7939.9866784606692818","909.99847246349008856","0","20129.966230785899825","20409.96575831530572","0","0","30.484763893825352454","36.755634118005190203","2860","3382","3522","3522","0","0","283.82039408532290281","81121280","2263"
"09/05/2026 11:37:25.418","2280.0013585304991466","8730.0052017417783645","1510.000897345145404","0","21080.012559256956592","20770.01237335278347","0","0","31.929002533834044186","36.048007197811848812","2860","3342","3503","3503","0","0","275.29107687898516588","81121280","2257"
"09/05/2026 11:37:26.440","2200.0006525832309308","8790.002610332923723","1300.0003851310871141","0","23320.006928793540283","23040.006846774882433","0","0","30.594248541160560251","37.195679980933491038","2943","3342","3519","3519","0","0","285.86723276409531991","81121280","2247"
"09/05/2026 11:37:27.455","2469.9973199674846001","8479.9907991466498061","2369.9974264588427104","0","24679.973228072540223","24429.973501400359964","0","0","41.106238851877293428","48.316100425673077723","3129","3370","3499","3499","0","0","287.78867882305740977","81121280","2303"
"09/05/2026 11:37:28.478","3500.0045140514594095","8960.0115621191380342","4690.0060509019167512","0","29940.038639279751806","30900.039879482330434","0","0","44.296614277895066891","50.241966057412938085","3417","3370","3562","3562","0","0","285.56822836427591028","81121280","2313"
"09/05/2026 11:37:29.498","2109.9962244704415752","8409.9849515622827312","1969.9964749795119587","0","22819.959167021555913","22859.959095447535219","0","0","30.415303428422536314","35.6236311744662828","3129","3350","3499","3499","0","0","280.43073769012653429","81121280","2320"
